gene	essentiality	ncbi_id
GSTM2	CSEGs	2946
GTF2A1	CEGs	2957
GTF2B	CEGs	2959
GTF2E1	CEGs	2960
GTF2H1	CEGs	2965
GTF3C1	CEGs	2975
GTPBP4	CEGs	23560
GTPBP8	CSEGs	29083
GUCA1C	CSEGs	9626
GUCD1	CSEGs	83606
GULP1	CSEGs	51454
GZF1	CSEGs	64412
H1FOO	CSEGs	132243
H2AFB3	CSEGs	83740
H2AFY	CSEGs	9555
H2AFY2	CSEGs	55506
HADH	CSEGs	3033
HAL	CSEGs	3034
HAP1	CSEGs	9001
HAUS1	CEGs	115106
HAUS3	CEGs	79441
HAUS4	CEGs	54930
HAUS5	CEGs	23354
HAUS6	CEGs	54801
HAUS7	CEGs	55559
HBA1	CSEGs	3039
HBA2	CSEGs	3040
HBE1	CSEGs	3046
HCAR1	CSEGs	27198
HCFC1	CEGs	3054
HCFC1R1	CSEGs	54985
HCG27	CSEGs	253018
HCN4	CSEGs	10021
HDAC5	CSEGs	10014
HDAC6	CSEGs	10013
HDAC7	CSEGs	51564
HEATR1	CEGs	55127
HECW1	CSEGs	23072
HELT	CSEGs	391723
HEMGN	CSEGs	55363
HES6	CSEGs	55502
HEXB	CSEGs	3074
HGF	CSEGs	3082
HIBCH	CSEGs	26275
HIF3A	CSEGs	64344
HIST1H2AJ	CEGs	8331
HIST1H2BB	CEGs	3018
HIST1H2BC	CEGs	8347
HIST1H2BE	CEGs	8344
HIST1H2BF	CEGs	8343
HIST1H2BH	CEGs	8345
HIST1H2BM	CSEGs	8342
HIST1H2BO	CSEGs	8348
HIST1H3A	CSEGs	8350
HIST1H3B	CSEGs	8358
HIST1H4I	CSEGs	8294
HIST2H2BA	CSEGs	337875
HJURP	CEGs	55355
HK1	CSEGs	3098
HMCES	CSEGs	56941
HMCN2	CSEGs	256158
HMGB3	CSEGs	3149
HMGB4	CSEGs	127540
HMGCS1	CEGs	3157
HMGN4	CSEGs	10473
HNF1B	CEGs	6928
HNRNPC	CEGs	3183
HNRNPCL1	CSEGs	343069
HNRNPK	CEGs	3190
HNRNPL	CEGs	3191
HNRNPUL1	CSEGs	11100
HORMAD2	CSEGs	150280
HOXB9	CSEGs	3219
HOXD9	CSEGs	3235
HPCA	CSEGs	3208
HS2ST1	CSEGs	9653
HSD17B4	CSEGs	3295
HSD17B7P2	CSEGs	158160
HSF5	CSEGs	124535
HSPA9	CEGs	3313
HSPE1	CEGs	3336
HYLS1	CSEGs	219844
ICAM2	CSEGs	3384
ICOS	CSEGs	29851
ID1	CSEGs	3397
ID3	CSEGs	3399
IER3	CSEGs	8870
IFI30	CSEGs	10437
IFI44L	CSEGs	10964
IFNAR1	CSEGs	3454
IFNE	CSEGs	338376
IFNL3	CSEGs	282617
IFRD1	CSEGs	3475
IFRD2	CSEGs	7866
IFT46	CSEGs	56912
IFT52	CSEGs	51098
IFT57	CSEGs	55081
IFT74	CSEGs	80173
IGBP1	CEGs	3476
IGF1R	CEGs	3480
IGF2BP2	CSEGs	10644
IGFBP4	CSEGs	3487
